Tipus,ID,Jaratszam,Honnan,Hova,Tavolsag,Datum,Idopont,Jegyar,Utas
Legitarsasag,WizzAir,,,,,,,,
Jarat_B,,W6-101,Budapest,Debrecen,200,2026-10-10,10:00,15000,
Jarat_B,,W6-111,Budapest,Taktaharkány-alsó,200,2027-10-01,11:11,13593,
Jarat_N,,W6-202,Budapest,London,1500,2026-11-12,14:30,45000,
Jarat_N,,W6-303,Budapest,Párizs,1300,2026-12-01,08:15,38000,
Foglalas,F1,W6-101,,,,,,,Kovács Péter
Foglalas,F2,W6-101,,,,,,,Nagy Anna
Foglalas,F3,W6-202,,,,,,,Szabó Gábor
Foglalas,F4,W6-202,,,,,,,Tóth Bence
Foglalas,F5,W6-303,,,,,,,Kiss Éva
Foglalas,F6,W6-303,,,,,,,Farkas Zoltán
Foglalas,F106,W6-202,,,,,,,Sztrófa Kata
Foglalas,F107,W6-111,,,,,,,Döbdrögi
